N,P,K,temperature,humidity,ph,rainfall,label
106.79,17.14,42.83,27.41,89.26,5.68,2022.41,riz
115.92,17.05,48.12,28.88,71.36,5.6,2120.62,riz
64.04,26.64,30.38,28.21,70.91,6.74,2465.54,riz
118.13,29.99,23.9,29.58,70.49,5.04,1620.69,riz
89.32,30.41,40.5,26.46,75.47,6.99,1754.04,riz
87.08,18.27,43.84,28.94,74.42,5.16,2084.65,riz
99.27,20.47,48.53,23.51,78.65,6.89,1745.65,riz
98.31,22.95,28.23,31.84,78.19,6.79,1498.94,riz
72.79,15.62,39.55,25.69,87.29,5.95,2458.65,riz
71.13,32.37,43.3,29.71,86.9,6.52,2014.09,riz
67.87,15.65,47.63,28.17,85.93,5.96,1352.5,riz
67.51,28.71,32.91,24.01,79.83,5.13,1956.56,riz
76.14,30.95,29.31,26.55,70.23,5.14,1710.24,riz
88.8,27.0,28.75,28.95,87.2,6.56,1251.5,riz
88.83,17.1,27.26,31.87,72.85,6.0,2003.6,riz
102.15,26.19,20.29,25.26,80.35,5.18,1655.82,riz
61.99,16.57,31.91,23.33,81.35,6.38,2240.76,riz
72.01,18.35,23.14,28.36,84.13,5.06,2417.08,riz
63.12,25.83,41.27,30.71,84.28,6.6,1641.29,riz
108.89,16.6,46.84,27.48,86.35,5.9,2036.65,riz
91.58,29.63,22.45,22.6,74.94,5.32,2333.32,riz
73.15,34.52,30.11,23.82,85.79,6.32,1847.65,riz
93.32,29.38,26.85,31.96,89.5,6.3,1459.41,riz
100.81,16.44,20.92,24.58,79.25,6.74,2145.32,riz
104.56,23.51,30.38,25.71,89.75,5.08,2327.14,riz
94.72,23.77,41.76,26.87,87.47,6.8,1748.24,riz
76.61,26.85,47.37,24.11,82.46,6.26,2153.05,riz
67.89,29.32,47.27,23.8,74.75,6.94,1435.27,riz
111.26,24.85,27.42,30.71,78.91,6.03,1667.0,riz
95.58,18.27,31.73,31.69,75.16,6.31,1622.75,riz
106.41,17.62,49.09,26.54,74.72,5.15,1420.69,riz
91.19,21.74,44.87,26.31,74.97,6.23,2118.81,riz
70.02,18.35,21.1,29.36,83.28,5.95,2297.42,riz
108.34,26.71,46.05,24.06,72.24,5.54,1274.21,riz
91.87,33.73,21.18,23.22,79.04,6.87,1611.0,riz
90.43,15.83,24.45,31.87,89.3,5.01,2437.36,riz
98.35,32.36,33.64,27.16,79.78,6.33,1381.55,riz
61.8,21.16,41.14,24.02,83.47,6.94,1322.07,riz
100.36,23.88,46.04,23.77,83.85,6.68,2428.0,riz
100.99,24.94,38.54,30.69,81.41,5.06,2410.23,riz
101.37,28.53,26.47,28.59,77.88,6.3,1338.57,riz
99.47,34.99,21.45,31.77,78.14,6.74,2217.1,riz
94.02,29.77,46.36,26.04,76.54,6.34,2250.2,riz
105.74,30.96,33.07,30.18,72.4,6.09,1207.49,riz
79.48,22.33,31.89,28.95,77.77,5.9,1508.81,riz
82.4,19.55,22.2,28.03,83.36,6.24,1802.54,riz
82.79,32.27,35.57,26.79,70.51,5.68,1694.25,riz
83.93,26.6,36.01,28.08,85.3,6.63,2133.56,riz
117.33,15.36,25.87,22.08,82.95,6.8,1516.53,riz
115.62,16.21,48.03,25.52,72.03,5.97,1533.81,riz
77.09,21.15,44.09,27.39,76.23,6.22,2131.0,riz
76.36,23.27,23.66,23.81,83.62,5.36,1882.71,riz
102.54,17.14,37.02,24.57,89.26,5.97,2247.79,riz
93.01,15.87,38.99,31.51,82.03,6.64,2349.47,riz
73.68,19.24,38.33,26.11,86.8,6.8,1659.45,riz
74.21,30.61,28.24,30.23,78.47,6.34,1324.2,riz
97.43,24.04,37.6,23.68,84.74,6.73,1481.76,riz
65.74,15.47,39.26,28.07,80.93,5.46,1708.18,riz
95.67,24.94,49.63,23.36,83.9,5.81,1756.66,riz
103.06,28.85,49.74,23.28,72.08,6.45,1951.9,riz
76.45,16.59,22.57,30.94,73.84,5.65,1494.65,riz
81.3,16.39,35.57,22.68,86.01,5.47,1902.02,riz
112.8,28.02,35.99,25.24,76.66,6.34,2492.38,riz
99.71,26.16,41.92,26.65,71.2,6.12,2444.91,riz
70.52,28.8,26.03,27.36,71.93,5.9,2183.01,riz
80.85,28.3,43.86,31.27,74.69,5.8,1398.14,riz
119.55,33.54,36.2,30.42,80.42,6.25,1315.86,riz
105.32,17.55,44.78,29.82,84.17,5.07,1594.07,riz
75.79,22.2,22.63,31.37,81.08,5.61,1716.08,riz
86.83,27.01,35.47,31.19,79.94,6.98,2306.85,riz
72.51,33.61,23.49,30.17,77.61,6.76,2328.47,riz
108.36,30.8,29.14,22.81,78.06,5.35,2103.44,riz
80.77,34.51,39.23,30.22,72.65,6.72,2399.58,riz
89.22,27.13,42.94,23.75,80.05,5.8,1390.29,riz
82.05,16.36,20.77,23.35,89.26,6.1,2455.57,riz
85.95,21.24,35.18,26.4,72.11,6.28,1480.85,riz
97.18,28.0,24.56,22.61,85.62,5.92,1275.61,riz
119.69,16.16,40.85,31.84,74.78,5.28,1357.8,riz
78.2,17.02,40.76,22.62,80.19,6.99,2258.16,riz
96.91,21.13,38.72,27.27,78.52,5.26,2352.59,riz
86.99,18.89,31.03,26.14,86.55,6.47,2200.1,riz
60.66,23.32,34.44,22.19,75.2,6.52,1378.24,riz
92.12,19.3,20.36,24.41,89.52,6.6,2447.45,riz
89.27,17.19,36.44,26.54,86.89,5.2,1834.71,riz
69.0,21.49,42.12,26.76,77.52,5.79,1797.28,riz
107.1,32.84,48.66,29.87,76.31,6.38,1768.88,riz
75.28,31.82,21.15,31.02,79.23,6.27,2057.16,riz
113.71,27.73,38.42,22.67,80.37,5.3,2158.66,riz
90.73,28.6,21.25,22.85,84.33,5.14,1292.63,riz
60.73,34.13,42.13,25.53,75.93,5.7,2207.05,riz
99.68,18.7,25.22,22.98,83.21,6.53,1544.56,riz
61.26,16.64,49.04,24.95,85.38,6.25,1696.52,riz
72.34,17.43,38.45,29.75,82.88,6.06,1254.54,riz
118.11,30.97,28.78,31.8,82.04,6.16,2172.5,riz
108.71,28.13,23.84,25.38,88.56,5.45,1683.82,riz
85.92,23.79,38.39,31.43,74.81,5.24,1456.71,riz
113.22,27.92,28.58,30.16,87.23,6.69,2394.6,riz
75.13,30.1,33.82,30.42,84.57,6.55,2053.01,riz
70.65,25.9,49.54,31.37,70.86,5.33,1371.25,riz
103.56,31.36,26.41,27.06,86.81,6.47,1904.91,riz
95.42,25.17,28.93,27.65,83.78,6.75,2027.18,riz
105.67,18.2,33.85,22.09,74.93,6.45,2489.35,riz
65.95,23.03,44.0,24.04,81.1,6.47,2000.78,riz
71.28,22.11,43.51,27.54,70.1,6.52,1245.9,riz
104.74,19.05,48.74,25.68,76.54,5.3,1597.29,riz
112.6,34.93,31.05,26.49,84.44,6.77,1970.96,riz
83.49,23.25,40.87,22.03,82.39,5.71,2232.46,riz
65.58,26.76,34.43,28.42,71.3,6.16,1929.93,riz
93.64,27.07,40.29,30.05,75.4,6.65,1847.73,riz
64.62,16.17,30.03,29.85,84.15,6.58,1872.45,riz
86.41,17.95,29.85,26.34,71.77,5.44,1977.69,riz
104.14,34.97,47.99,28.43,78.42,6.27,2221.35,riz
67.1,23.2,45.19,25.84,81.44,6.18,1439.82,riz
81.73,21.69,20.79,22.24,86.63,5.55,1873.5,riz
77.92,33.81,27.78,26.3,87.45,6.68,1441.93,riz
108.16,24.16,34.49,23.33,71.61,6.46,1845.4,riz
86.21,29.59,42.97,23.59,82.2,5.27,2176.79,riz
99.42,34.13,22.07,22.57,75.64,5.52,1521.07,riz
114.38,19.99,28.16,29.59,78.99,6.55,1284.98,riz
89.25,15.67,21.88,31.06,72.78,6.06,1734.42,riz
80.84,33.0,20.65,28.64,89.27,6.12,2417.87,riz
63.14,23.38,27.8,29.31,89.63,5.51,2050.43,riz
71.89,26.31,33.92,31.72,82.17,5.7,1348.32,riz
69.07,19.51,27.53,30.51,81.22,6.05,1349.2,riz
111.61,29.46,22.03,29.08,80.87,5.16,1795.79,riz
89.08,18.32,48.37,30.5,83.38,5.92,1735.3,riz
99.06,25.91,21.87,27.13,86.13,5.92,1267.54,riz
107.18,19.03,27.76,23.65,76.6,6.51,1875.2,riz
72.29,32.56,46.39,30.71,74.78,5.9,2480.49,riz
106.32,15.54,21.96,26.64,88.18,6.08,1847.16,riz
66.33,28.14,44.66,25.8,85.51,6.93,1464.9,riz
91.4,20.74,43.79,27.78,82.69,6.6,1714.76,riz
114.91,25.66,24.74,28.96,85.87,5.63,2314.33,riz
114.37,20.54,49.51,23.41,74.04,5.37,2362.19,riz
99.26,18.04,33.21,28.15,71.67,6.76,2244.68,riz
90.31,34.34,32.53,31.84,83.36,6.27,1415.74,riz
112.92,23.55,24.87,22.13,81.2,6.05,2135.16,riz
113.42,16.59,41.94,23.87,87.16,6.64,1903.03,riz
102.61,21.29,34.14,30.22,79.19,5.72,1842.48,riz
109.69,21.7,25.21,29.12,86.52,5.2,1511.84,riz
68.52,21.96,33.51,29.49,83.02,6.24,1658.09,riz
110.49,24.43,49.37,28.34,72.53,6.35,1622.64,riz
101.18,16.39,25.25,30.56,74.54,6.67,1563.06,riz
98.57,28.88,35.38,25.05,74.25,5.07,1595.13,riz
99.19,33.77,46.14,29.66,85.77,6.33,1538.37,riz
114.43,28.41,36.81,23.11,78.94,5.92,2323.93,riz
92.8,22.61,49.3,23.11,78.45,5.08,2161.88,riz
115.08,20.6,45.75,24.92,88.22,6.51,2246.38,riz
61.08,34.26,41.8,25.05,86.59,5.56,2334.58,riz
66.75,29.07,36.22,22.97,74.84,5.02,1809.4,riz
78.08,26.97,28.92,25.0,84.86,5.1,2373.76,riz
111.14,28.36,37.8,30.92,73.71,5.16,1511.36,riz
107.67,15.69,37.48,31.95,87.11,6.04,1282.73,riz
109.88,26.98,23.45,22.94,88.19,6.34,2278.07,riz
112.74,26.44,35.52,26.3,76.34,5.87,2206.04,riz
96.12,32.85,33.3,28.07,82.63,6.18,2113.42,riz
74.25,25.25,23.13,25.85,79.75,6.3,2435.69,riz
96.04,29.87,35.19,28.34,71.42,5.51,1670.41,riz
88.35,15.91,24.2,24.77,89.43,5.66,1826.65,riz
71.77,27.22,28.42,24.07,80.33,5.01,1209.96,riz
73.14,15.73,23.24,25.39,86.05,6.14,1866.47,riz
77.61,33.64,31.91,22.87,82.34,5.23,1648.79,riz
90.44,32.48,34.81,29.02,89.86,5.26,1557.15,riz
83.67,23.44,32.33,31.08,84.28,6.22,1602.18,riz
109.43,34.1,44.64,22.02,82.73,5.1,1534.89,riz
63.57,27.08,40.6,23.14,77.68,5.91,1679.77,riz
67.26,23.38,42.54,22.71,71.6,5.71,2424.24,riz
100.11,28.57,30.86,27.94,70.2,6.27,2387.27,riz
96.75,32.47,41.72,23.21,88.05,5.13,1894.16,riz
68.53,15.23,32.66,24.95,79.72,6.15,1256.86,riz
67.38,26.17,30.3,29.29,83.05,6.69,2100.24,riz
85.8,28.46,28.26,25.06,85.78,5.89,2237.89,riz
109.35,32.15,47.5,26.31,76.38,6.16,1682.52,riz
96.06,29.11,40.65,25.75,73.34,5.86,1385.37,riz
113.41,21.92,24.63,22.25,82.92,6.27,1642.79,riz
64.3,23.19,29.34,28.77,82.12,5.73,1483.26,riz
119.28,24.08,40.65,23.41,79.71,5.06,1857.09,riz
117.84,22.68,21.17,22.31,77.76,5.32,1230.36,riz
105.37,24.17,28.68,31.0,72.32,6.91,1608.16,riz
113.3,27.06,44.8,31.84,75.77,6.92,1706.33,riz
83.13,21.81,36.24,23.54,81.07,6.08,2190.47,riz
110.02,23.81,29.07,24.59,73.89,5.12,1645.18,riz
76.21,34.33,36.73,25.47,81.61,5.28,1777.26,riz
97.57,24.78,32.05,31.94,87.61,6.25,1940.19,riz
97.24,19.03,31.85,22.39,79.51,6.09,1496.07,riz
117.84,33.19,41.66,27.33,87.4,5.26,2227.66,riz
67.49,30.88,28.27,30.77,88.88,5.3,1801.48,riz
118.86,24.67,45.91,27.89,77.51,5.57,1464.19,riz
105.71,22.73,35.34,26.92,81.55,6.73,2474.96,riz
84.46,31.55,42.94,27.74,89.12,5.4,1342.04,riz
111.24,23.78,45.41,30.93,71.25,6.77,1782.81,riz
90.63,27.53,47.79,22.19,79.54,6.38,2139.52,riz
101.55,17.69,28.98,25.59,86.09,5.56,1473.92,riz
117.45,15.18,49.93,28.77,86.57,5.59,1218.61,riz
104.27,31.68,42.21,23.43,85.07,6.54,2056.1,riz
105.97,31.92,38.41,22.89,79.75,5.16,1729.81,riz
84.43,16.32,30.46,23.11,86.16,6.9,1294.01,riz
117.31,25.45,28.99,22.77,80.01,6.59,2119.21,riz
63.01,16.46,32.09,24.95,74.65,5.56,2244.53,riz
115.75,23.1,47.18,25.21,79.53,5.45,2032.62,riz
118.74,27.07,30.73,28.48,72.46,6.78,1854.01,riz
86.96,26.72,38.74,22.72,83.65,5.48,2128.14,riz
109.35,31.08,36.58,27.2,72.86,6.55,1552.83,riz
89.8,20.69,24.01,28.3,71.09,6.5,1612.86,riz
60.01,25.22,21.41,24.76,84.14,5.13,2291.14,riz
60.23,19.94,42.23,25.16,72.04,5.72,1551.51,riz
110.56,21.27,43.67,30.92,78.68,6.82,1690.51,riz
117.84,16.79,40.61,26.94,77.75,6.27,2115.01,riz
60.26,18.34,41.39,28.66,89.32,6.52,2436.0,riz
102.15,20.96,23.16,29.82,82.88,5.1,1668.07,riz
117.41,25.01,32.98,26.58,74.18,5.74,1680.76,riz
63.14,30.35,32.5,30.22,87.01,5.42,2054.56,riz
88.34,32.6,26.47,28.78,82.16,5.59,1377.58,riz
99.1,29.77,29.47,28.45,77.9,6.43,1458.98,riz
113.41,20.75,31.03,22.58,72.23,6.03,1547.87,riz
110.13,15.29,31.37,25.37,70.39,5.25,1737.74,riz
89.57,23.09,35.93,27.95,70.2,5.93,2452.55,riz
91.14,28.55,29.36,29.74,85.46,6.04,2468.82,riz
67.53,15.34,43.1,30.07,72.4,5.53,1222.82,riz
77.6,30.46,35.54,25.48,77.43,5.0,1589.74,riz
98.79,34.48,45.41,22.24,87.97,6.57,2214.49,riz
87.48,22.96,29.09,22.66,74.56,5.49,1829.3,riz
104.85,24.48,21.74,31.58,88.85,6.57,2488.73,riz
92.67,34.26,22.27,25.66,74.51,5.39,1383.04,riz
97.34,30.63,37.35,23.47,86.22,6.27,1704.62,riz
100.45,20.2,30.36,31.17,75.81,5.94,2357.18,riz
102.46,16.24,24.42,22.08,82.62,5.9,1374.56,riz
117.48,25.59,27.26,27.01,83.59,5.15,1557.11,riz
108.42,24.19,36.4,26.33,70.88,5.33,1779.2,riz
72.55,16.0,45.31,31.81,85.86,6.71,1514.57,riz
117.64,18.94,48.54,31.95,84.23,6.96,1940.4,riz
75.57,23.74,37.81,22.73,82.45,6.96,1447.14,riz
107.56,33.16,48.31,31.6,80.43,6.95,2184.5,riz
69.7,24.54,41.55,24.47,82.81,6.33,1411.51,riz
93.91,30.43,34.97,22.12,70.18,5.71,2404.05,riz
73.72,27.69,26.66,25.22,86.96,6.46,1324.02,riz
85.72,15.58,34.43,28.62,72.37,5.58,1717.19,riz
115.17,34.87,21.35,29.61,77.43,5.78,2180.54,riz
115.11,34.02,37.31,25.57,85.75,5.5,1933.3,riz
81.51,28.13,27.21,23.92,88.36,5.2,1857.75,riz
73.25,15.78,21.08,23.75,87.34,5.56,2435.6,riz
94.9,23.73,37.4,27.17,85.18,5.56,1658.97,riz
113.65,33.93,46.78,26.19,85.61,5.95,1846.8,riz
72.28,26.82,25.58,25.32,87.1,5.41,1292.51,riz
64.14,33.82,35.21,26.09,86.22,6.67,1631.85,riz
101.62,30.42,39.64,23.52,87.52,6.08,1567.21,riz
85.51,15.75,23.84,29.66,70.0,5.83,1879.26,riz
63.28,34.46,26.78,25.04,76.08,5.46,1201.92,riz
103.76,34.34,26.73,28.63,84.84,6.7,1749.42,riz
78.18,21.51,41.38,30.17,73.63,5.74,2372.52,riz
108.4,34.7,42.63,25.93,81.81,6.32,1301.99,riz
92.67,29.19,25.02,29.81,81.68,6.9,1255.15,riz
75.92,27.03,28.9,29.14,85.18,5.21,1868.01,riz
90.53,22.39,47.99,30.28,83.94,6.43,1800.23,riz
115.26,28.89,41.87,30.62,75.48,6.61,1453.81,riz
80.72,21.71,49.36,30.57,84.02,6.45,1930.69,riz
116.83,24.93,31.42,23.63,85.72,6.47,1699.66,riz
61.51,31.78,20.34,29.04,89.41,5.88,1505.47,riz
102.29,31.34,36.39,31.67,71.03,6.01,2133.99,riz
111.76,18.59,44.0,27.53,77.93,5.26,2324.88,riz
69.44,21.2,28.7,30.71,83.45,6.59,1525.61,riz
97.49,26.43,44.98,31.06,70.24,6.35,1267.39,riz
92.93,20.75,29.2,25.53,82.43,5.67,2152.51,riz
84.27,16.37,43.51,24.86,78.66,6.37,1632.19,riz
63.4,22.48,48.33,28.42,83.43,6.26,1458.69,riz
85.1,30.02,23.04,24.78,75.53,5.86,2474.48,riz
64.05,25.37,25.38,31.71,72.27,5.81,2159.25,riz
102.27,23.45,30.4,25.98,75.29,5.41,1827.95,riz
